78;Nathan MacKinnon;COL;COL;C;72;21;31;52;42;31;73;6300000;143;
84;Patric Hornqvist;PIT;PIT;R;82;22;29;51;44;29;73;4250000;144;
105;Patrick Marleau;SJS;SJS;L;82;25;23;48;50;23;73;6667000;145;
9999;Michal Neuvirth;PHI;PHI;G;29;18;3;0;54;15;73;1625000;146;4
9999;Jaroslav Halak;NYI;NYI;G;36;18;3;0;54;15;73;4500000;147;4
9999;James Reimer;FLA;TOR, SJS;G;37;17;3;0;51;15;73;3400000;148;7
79;Frans Nielsen;DET;NYI;C;81;20;32;52;40;32;72;5250000;149;
85;Mika Zibanejad;NYR;OTT;C;81;21;30;51;42;30;72;2625000;150;
99;Scott Hartnell;CLB;CBJ;L;79;23;26;49;46;26;72;4750000;151;
111;Jordan Eberle;EDM;EDM;R;69;25;22;47;50;22;72;6000000;152;
235;Alec Martinez;LAK;LAK;D;78;10;21;31;30;42;72;4000000;153;
116;Andrew Ladd;NYI;WPG, CHI;L;78;25;21;46;50;21;71;5500000;154;
80;Max Domi;ARI;ARI;L;81;18;34;52;36;34;70;1363000;155;
87;Lee Stempniak;CAR;NJD, BOS;R;82;19;32;51;38;32;70;2500000;156;
88;Leon Draisaitl;EDM;EDM;C;72;19;32;51;38;32;70;3400000;157;
81;Alexander Steen;STL;STL;L;67;17;35;52;34;35;69;5800000;158;
106;Victor Rask;CAR;CAR;C;80;21;27;48;42;27;69;4000000;159;
112;Jarome Iginla;COL;COL;R;82;22;25;47;44;25;69;5333000;160;
231;Matt Niskanen;WAS;WSH;D;82;5;27;32;15;54;69;5750000;161;
237;Jake Gardiner;TOR;TOR;D;79;7;24;31;21;48;69;4050000;162;
249;Jared Spurgeon;MIN;MIN;D;77;11;18;29;33;36;69;5188000;163;
68;Tomas Plekanec;MTL;MTL;C;82;14;40;54;28;40;68;6000000;164;
89;Mikkel Boedker;SJS;ARI, COL;L;80;17;34;51;34;34;68;4000000;165;
107;Jordan Staal;CAR;CAR;C;82;20;28;48;40;28;68;6000000;166;
113;Mikael Backlund;CGY;CGY;C;82;21;26;47;42;26;68;3575000;167;
121;Dylan Larkin;DET;DET;C;80;23;22;45;46;22;68;1425000;168;
232;Dion Phaneuf;OTT;TOR, OTT;D;71;4;28;32;12;56;68;7000000;169;
238;Brian Campbell;CHI;FLA;D;82;6;25;31;18;50;68;2250000;170;
117;Tomas Hertl;SJS;SJS;C;81;21;25;46;42;25;67;3000000;171;
66;Henrik Sedin;VAN;VAN;C;74;11;44;55;22;44;66;7000000;172;
67;Jakub Voracek;PHI;PHI;R;73;11;44;55;22;44;66;8250000;173;
122;Tomas Tatar;DET;DET;L;81;21;24;45;42;24;66;2750000;174;
123;David Backes;BOS;STL;R;79;21;24;45;42;24;66;6000000;175;
153;Brock Nelson;NYI;NYI;L;81;26;14;40;52;14;66;2500000;176;
243;Andrej Sekera;EDM;EDM;D;81;6;24;30;18;48;66;5500000;177;
253;Dmitry Orlov;WAS;WSH;D;82;8;21;29;24;42;66;0;178;
259;Hampus Lindholm;ANA;ANA;D;80;10;18;28;30;36;66;0;179;
100;Pavel Datsyuk;#N/A;DET;C;66;16;33;49;32;33;65;0;180;
108;Brandon Dubinsky;CLB;CBJ;C;75;17;31;48;34;31;65;5850000;181;
132;J.T. Miller;NYR;NYR;C;82;22;21;43;44;21;65;2625000;182;
142;Sam Reinhart;BUF;BUF;C;79;23;19;42;46;19;65;3544000;183;
239;Seth Jones;CLB;NSH, CBJ;D;81;3;28;31;9;56;65;5400000;184;
268;Erik Johnson;COL;COL;D;73;11;16;27;33;32;65;6000000;185;
9999;Ryan Miller;VAN;VAN;G;51;17;1;0;51;5;65;6000000;186;9
109;Connor McDavid;EDM;EDM;C;45;16;32;48;32;32;64;3775000;187;
126;Anthony Duclair;ARI;ARI;L;81;20;24;44;40;24;64;894000;188;
133;Chris Kreider;NYR;NYR;L;79;21;22;43;42;22;64;4625000;189;
134;Joel Ward;SJS;SJS;R;79;21;22;43;42;22;64;3275000;190;
91;Carl Soderberg;COL;COL;C;82;12;39;51;24;39;63;4750000;191;
96;Henrik Zetterberg;DET;DET;L;82;13;37;50;26;37;63;6083000;192;
118;Marcus Johansson;WAS;WSH;L;74;17;29;46;34;29;63;4583000;193;
127;Joe Colborne;COL;CGY;C;73;19;25;44;38;25;63;2500000;194;
135;Nino Niederreiter;MIN;MIN;R;82;20;23;43;40;23;63;2667000;195;
136;Rickard Rakell;ANA;ANA;C;72;20;23;43;40;23;63;0;196;
143;Charlie Coyle;MIN;MIN;C;82;21;21;42;42;21;63;3200000;197;
269;Tyler Myers;WPG;WPG;D;73;9;18;27;27;36;63;5500000;198;
102;Ryan Spooner;BOS;BOS;C;80;13;36;49;26;36;62;950000;199;
120;Jiri Hudler;DAL;CGY, FLA;R;72;16;30;46;32;30;62;2000000;200;
124;Nazem Kadri;TOR;TOR;C;76;17;28;45;34;28;62;4500000;201;
137;Jean-Gabriel Pageau;OTT;OTT;C;82;19;24;43;38;24;62;900000;202;
144;Artem Anisimov;CHI;CHI;C;77;20;22;42;40;22;62;4550000;203;
263;Trevor Daley;PIT;CHI, PIT;D;82;6;22;28;18;44;62;3300000;204;
276;Matt Dumba;MIN;MIN;D;81;10;16;26;30;32;62;2550000;205;
277;Cody Ceci;OTT;OTT;D;75;10;16;26;30;32;62;2800000;206;
9999;Mike Smith;ARI;ARI;G;32;15;3;0;45;15;62;5667000;207;2
145;Justin Abdelkader;DET;DET;L;82;19;23;42;38;23;61;4250000;208;
148;PA Parenteau;#N/A;TOR;R;77;20;21;41;40;21;61;0;209;
163;Jamie McGinn;ARI;BUF, ANA;L;84;22;17;39;44;17;61;3333000;210;
191;Zack Smith;OTT;OTT;C;81;25;11;36;50;11;61;1887000;211;
264;Cam Fowler;ANA;ANA;D;69;5;23;28;15;46;61;4000000;212;
278;Kevin Klein;NYR;NYR;D;69;9;17;26;27;34;61;2900000;213;
138;Gustav Nyquist;DET;DET;R;82;17;26;43;34;26;60;4750000;214;
