rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
201;R.J. Umberger;CBJ;C;74;18;16;34;36;16;52;-3;8;1;2;3;0
202;Drew Stafford;BUF;R;70;16;18;34;32;18;50;-19;2;1;2;1;0
203;Valeri Nichushkin;DAL;R;79;14;20;34;28;20;48;20;2;0;0;2;0
204;Mark Scheifele;WPG;C;63;13;21;34;26;21;47;9;1;0;0;2;1
205;Lee Stempniak;CGY, PIT;R;73;12;22;34;24;22;46;-16;0;2;4;1;0
206;Mark Letestu;CBJ;C;82;12;22;34;24;22;46;1;5;1;2;1;0
207;Jason Demers;SJS;D;75;5;29;34;10;29;39;14;1;0;0;0;0
208;Slava Voynov;LAK;D;82;4;30;34;8;30;38;6;1;0;0;0;0
209;Carl Hagelin;NYR;L;72;17;16;33;34;16;50;8;0;1;2;5;0
210;Mika Zibanejad;OTT;C;69;16;17;33;32;17;49;-15;3;0;0;0;0
211;Matt Stajan;CGY;C;63;14;19;33;28;19;47;-13;0;1;2;2;1
212;Pierre-Alexandre Parenteau;COL;R;55;14;19;33;28;19;47;3;1;0;0;1;0
213;Justin Schultz;EDM;D;74;11;22;33;22;22;44;-22;1;0;0;3;0
214;Colin Wilson;NSH;C;81;11;22;33;22;22;44;-1;2;0;0;3;0
215;Vladimir Sobotka;STL;L;61;9;24;33;18;24;42;14;1;0;0;1;0
216;Jason Garrison;VAN;D;81;7;26;33;14;26;40;-5;4;1;2;1;0
217;Christian Ehrhoff;BUF;D;79;6;27;33;12;27;39;-27;1;1;2;2;1
218;Jack Johnson;CBJ;D;82;5;28;33;10;28;38;-7;4;0;0;0;0
219;Cody Franson;TOR;D;79;5;28;33;10;28;38;-20;1;0;0;0;0
220;Ryan Garbutt;DAL;L;75;17;15;32;34;15;49;10;0;2;4;1;0
221;Patrik Berglund;STL;C;78;14;18;32;28;18;46;10;2;0;0;2;0
222;Nick Spaling;NSH;C;71;13;19;32;26;19;45;2;3;1;2;1;0
223;John Mitchell;COL;C;75;11;21;32;22;21;43;13;3;0;0;2;0
224;Ray Whitney;DAL;L;69;9;23;32;18;23;41;-6;3;0;0;0;0
225;Andy Greene;NJD;D;82;8;24;32;16;24;40;3;3;0;0;3;2
226;Justin Faulk;CAR;D;76;5;27;32;10;27;37;-9;2;0;0;1;0
227;Nathan Gerbe;CAR;L;81;16;15;31;32;15;47;-6;3;2;4;1;0
228;Kyle Palmieri;ANA;R;71;14;17;31;28;17;45;9;0;0;0;4;1
229;Eric Fehr;WSH;R;73;13;18;31;26;18;44;0;0;0;0;2;0
230;Alex Galchenyuk;MTL;C;65;13;18;31;26;18;44;-12;3;0;0;2;0
231;Jake Gardiner;TOR;D;80;10;21;31;20;21;41;-3;2;1;2;1;0
232;Dion Phaneuf;TOR;D;80;8;23;31;16;23;39;2;2;0;0;0;0
233;Nick Leddy;CHI;D;82;7;24;31;14;24;38;10;4;0;0;1;0
234;TJ Brodie;CGY;D;81;4;27;31;8;27;35;0;1;0;0;2;1
