rank;name;old_team;pos;gp;goals;assists;points;f_goals;f_assists;f_points;pm;ppg;shg;f_shg;gw;ot
743;Kellan Lain;VAN;C;9;1;0;1;2;0;2;1;0;0;0;0;0
744;John Albert;WPG;C;9;1;0;1;2;0;2;-3;0;0;0;0;0
745;Adam Almquist;DET;D;2;1;0;1;2;0;2;-1;0;0;0;0;0
746;Roman Horak;CGY, EDM;C;3;1;0;1;2;0;2;-1;0;0;0;0;0
747;Carl Klingberg;WPG;L;3;1;0;1;2;0;2;2;0;0;0;0;0
748;Matt Pelech;SJS;R;6;1;0;1;2;0;2;1;0;0;0;1;0
749;Matt Carey;CHI;L;2;1;0;1;2;0;2;-1;0;0;0;0;0
750;Stefan Elliott;COL;D;1;1;0;1;2;0;2;0;0;0;0;0;0
751;Johnny Gaudreau;CGY;L;1;1;0;1;2;0;2;1;0;0;0;0;0
752;Chad Ruhwedel;BUF;D;21;0;1;1;0;1;1;-3;0;0;0;0;0
753;Anton Lander;EDM;C;27;0;1;1;0;1;1;-10;0;0;0;0;0
754;Aaron Rome;DAL;D;25;0;1;1;0;1;1;-6;0;0;0;0;0
755;Jack Hillen;WSH;D;13;0;1;1;0;1;1;-4;0;0;0;0;0
756;David Rundblad;PHX, CHI;D;17;0;1;1;0;1;1;-4;0;0;0;0;0
757;Chris Porter;STL;L;22;0;1;1;0;1;1;-3;0;0;0;0;0
758;Jonathon Blum;MIN;D;15;0;1;1;0;1;1;-1;0;0;0;0;0
759;Michael Chaput;CBJ;C;17;0;1;1;0;1;1;0;0;0;0;0;0
760;Keith Aulie;TBL;D;15;0;1;1;0;1;1;-3;0;0;0;0;0
761;Kevin Porter;BUF;C;12;0;1;1;0;1;1;-5;0;0;0;0;0
762;Chris VandeVelde;PHI;C;18;0;1;1;0;1;1;-3;0;0;0;0;0
763;Ben Street;CGY;C;13;0;1;1;0;1;1;-2;0;0;0;0;0
764;Derek Smith;CGY;D;14;0;1;1;0;1;1;-10;0;0;0;0;0
765;Joey Crabb;FLA;R;9;0;1;1;0;1;1;-2;0;0;0;0;0
766;Brian Dumoulin;PIT;D;6;0;1;1;0;1;1;1;0;0;0;0;0
767;Jake McCabe;BUF;D;7;0;1;1;0;1;1;-3;0;0;0;0;0
768;George Parros;MTL;R;22;0;1;1;0;1;1;-6;0;0;0;0;0
769;Andrew Ebbett;PIT;C;9;0;1;1;0;1;1;-4;0;0;0;0;0
770;Denis Grebeshkov;EDM;D;7;0;1;1;0;1;1;0;0;0;0;0;0
771;Johan Sundstrom;NYI;C;11;0;1;1;0;1;1;0;0;0;0;0;0
772;Alex Petrovic;FLA;D;7;0;1;1;0;1;1;3;0;0;0;0;0
773;Mike Rupp;MIN;L;13;0;1;1;0;1;1;1;0;0;0;0;0
774;Jordin Tootoo;DET;R;11;0;1;1;0;1;1;-3;0;0;0;0;0
775;Ben Eager;EDM;L;7;0;1;1;0;1;1;1;0;0;0;0;0
776;Sean Collins;CBJ;C;6;0;1;1;0;1;1;1;0;0;0;0;0
777;Travis Morin;DAL;C;4;0;1;1;0;1;1;2;0;0;0;0;0
778;David Broll;TOR;L;5;0;1;1;0;1;1;1;0;0;0;0;0
779;Dmitry Korobov;TBL;D;3;0;1;1;0;1;1;0;0;0;0;0;0
780;Nolan Yonkman;ANA;D;2;0;1;1;0;1;1;-1;0;0;0;0;0
781;Cedric Paquette;TBL;C;2;0;1;1;0;1;1;1;0;0;0;0;0
782;Bobby Butler;FLA;R;2;0;1;1;0;1;1;1;0;0;0;0;0
783;Michael Zalewski;VAN;L;2;0;1;1;0;1;1;2;0;0;0;0;0
784;Kris Newbury;PHI;C;4;0;1;1;0;1;1;0;0;0;0;0;0
785;Christian Folin;MIN;D;1;0;1;1;0;1;1;3;0;0;0;0;0
786;Maxime Fortunus;DAL;D;1;0;1;1;0;1;1;1;0;0;0;0;0
787;Jason Akeson;PHI;R;1;0;1;1;0;1;1;1;0;0;0;0;0
788;Colton Orr;TOR;R;54;0;0;0;0;0;0;-3;0;0;0;0;0
789;Zach Sill;PIT;C;20;0;0;0;0;0;0;-4;0;0;0;0;0
790;Brayden McNabb;BUF;D;12;0;0;0;0;0;0;1;0;0;0;0;0
791;Jerred Smithson;TOR;C;18;0;0;0;0;0;0;-5;0;0;0;0;0
792;Adam Burish;SJS;R;15;0;0;0;0;0;0;-4;0;0;0;0;0
793;Cameron Gaunce;DAL;D;9;0;0;0;0;0;0;1;0;0;0;0;0
794;Jamie Oleksiak;DAL;D;7;0;0;0;0;0;0;-3;0;0;0;0;0
795;Jesper Fast;NYR;R;11;0;0;0;0;0;0;-5;0;0;0;0;0
796;Mike Sislo;NJD;R;14;0;0;0;0;0;0;-1;0;0;0;0;0
797;Ryan Whitney;FLA;D;7;0;0;0;0;0;0;-7;0;0;0;0;0
798;Freddie Hamilton;SJS;C;11;0;0;0;0;0;0;-5;0;0;0;0;0
799;Patrik Nemeth;DAL;D;8;0;0;0;0;0;0;-3;0;0;0;0;0
800;Frazer McLaren;TOR;L;27;0;0;0;0;0;0;-2;0;0;0;0;0
801;Mike Mottau;FLA;D;8;0;0;0;0;0;0;-3;0;0;0;0;0
802;Matt Taormina;TBL;D;7;0;0;0;0;0;0;0;0;0;0;0;0
803;Taylor Beck;NSH;L;7;0;0;0;0;0;0;-2;0;0;0;0;0
804;Pierre-Cedric Labrie;TBL;L;13;0;0;0;0;0;0;-4;0;0;0;0;0
805;Hal Gill;PHI;D;6;0;0;0;0;0;0;0;0;0;0;0;0
806;Nick Johnson;BOS;R;9;0;0;0;0;0;0;-4;0;0;0;0;0
807;Scott Mayfield;NYI;D;5;0;0;0;0;0;0;-3;0;0;0;0;0
808;Chris Mueller;DAL;C;9;0;0;0;0;0;0;-2;0;0;0;0;0
809;Louis Leblanc;MTL;C;8;0;0;0;0;0;0;1;0;0;0;0;0
810;Philip Samuelsson;PIT;D;5;0;0;0;0;0;0;-1;0;0;0;0;0
811;Paul Carey;COL;C;12;0;0;0;0;0;0;2;0;0;0;0;0
812;Andrew Alberts;VAN;D;10;0;0;0;0;0;0;1;0;0;0;0;0
813;Brandon Gormley;PHX;D;5;0;0;0;0;0;0;4;0;0;0;0;0
814;David Steckel;ANA;C;6;0;0;0;0;0;0;0;0;0;0;0;0
815;Dana Tyrell;TBL;C;7;0;0;0;0;0;0;0;0;0;0;0;0
816;Xavier Ouellet;DET;D;4;0;0;0;0;0;0;0;0;0;0;0;0
817;Bryce Van Brabant;CGY;L;6;0;0;0;0;0;0;-1;0;0;0;0;0
818;Brett Bulmer;MIN;R;5;0;0;0;0;0;0;-2;0;0;0;0;0
819;Cody Goloubef;CBJ;D;5;0;0;0;0;0;0;0;0;0;0;0;0
820;Arron Asham;NYR;R;6;0;0;0;0;0;0;-5;0;0;0;0;0
821;Conor Allen;NYR;D;3;0;0;0;0;0;0;-1;0;0;0;0;0
822;Mark Cundari;CGY;D;4;0;0;0;0;0;0;-4;0;0;0;0;0
823;Mike Blunden;MTL;R;7;0;0;0;0;0;0;-2;0;0;0;0;0
824;Teuvo Teravainen;CHI;C;3;0;0;0;0;0;0;0;0;0;0;0;0
825;Ryan Craig;CBJ;C;6;0;0;0;0;0;0;-3;0;0;0;0;0
826;Patrick Kaleta;BUF;R;5;0;0;0;0;0;0;-1;0;0;0;0;0
827;Patrick Holland;MTL;R;5;0;0;0;0;0;0;0;0;0;0;0;0
828;Andrew Campbell;LAK;D;3;0;0;0;0;0;0;0;0;0;0;0;0
829;Vladislav Namestnikov;TBL;C;4;0;0;0;0;0;0;-1;0;0;0;0;0
830;Brad Hunt;EDM;D;3;0;0;0;0;0;0;-3;0;0;0;0;0
831;Yann Sauve;VAN;D;3;0;0;0;0;0;0;-2;0;0;0;0;0
832;Landon Ferraro;DET;C;4;0;0;0;0;0;0;0;0;0;0;0;0
833;Gilbert Brule;PHX;C;3;0;0;0;0;0;0;-1;0;0;0;0;0
834;Lucas Lessio;PHX;L;3;0;0;0;0;0;0;-2;0;0;0;0;0
835;Garrett Wilson;FLA;L;3;0;0;0;0;0;0;-1;0;0;0;0;0
836;Brad Mills;CHI;C;3;0;0;0;0;0;0;-1;0;0;0;0;0
837;Zach Trotman;BOS;D;2;0;0;0;0;0;0;0;0;0;0;0;0
838;Tim Erixon;CBJ;D;2;0;0;0;0;0;0;2;0;0;0;0;0
839;Brett Gallant;NYI;L;4;0;0;0;0;0;0;0;0;0;0;0;0
840;Brandon Mashinter;NYR;L;6;0;0;0;0;0;0;-1;0;0;0;0;0
841;Ryan Stoa;WSH;C;3;0;0;0;0;0;0;-1;0;0;0;0;0
842;Pascal Pelletier;VAN;L;3;0;0;0;0;0;0;0;0;0;0;0;0
843;Keith Aucoin;STL;C;2;0;0;0;0;0;0;-3;0;0;0;0;0
844;Joe Piskula;NSH;D;2;0;0;0;0;0;0;1;0;0;0;0;0
845;Matt Lindblad;BOS;C;2;0;0;0;0;0;0;0;0;0;0;0;0
846;Teemu Pulkkinen;DET;L;3;0;0;0;0;0;0;0;0;0;0;0;0
847;Ty Rattie;STL;R;2;0;0;0;0;0;0;-2;0;0;0;0;0
848;Nicolas Deschamps;WSH;C;3;0;0;0;0;0;0;-1;0;0;0;0;0
849;Ryan Hamilton;EDM;L;2;0;0;0;0;0;0;-2;0;0;0;0;0
850;Craig Cunningham;BOS;R;2;0;0;0;0;0;0;0;0;0;0;0;0
851;Aaron Palushaj;CAR;R;2;0;0;0;0;0;0;-1;0;0;0;0;0
852;Ryan Sproul;DET;D;1;0;0;0;0;0;0;0;0;0;0;0;0
853;Adam Payerl;PIT;C;2;0;0;0;0;0;0;-1;0;0;0;0;0
854;Cameron Schilling;WSH;D;1;0;0;0;0;0;0;-2;0;0;0;0;0
855;Matt Hunwick;COL;D;1;0;0;0;0;0;0;0;0;0;0;0;0
856;Jonathan Racine;FLA;D;1;0;0;0;0;0;0;-1;0;0;0;0;0
857;Alexander Khokhlachev;BOS;C;1;0;0;0;0;0;0;0;0;0;0;0;0
858;Christian Thomas;MTL;L;2;0;0;0;0;0;0;-1;0;0;0;0;0
859;Dylan McIlrath;NYR;D;2;0;0;0;0;0;0;-1;0;0;0;0;0
860;Brandon Yip;PHX;R;2;0;0;0;0;0;0;0;0;0;0;0;0
861;Gabriel Dumont;MTL;C;2;0;0;0;0;0;0;0;0;0;0;0;0
862;Bill Arnold;CGY;C;1;0;0;0;0;0;0;-1;0;0;0;0;0
863;Alexey Marchenko;DET;D;1;0;0;0;0;0;0;2;0;0;0;0;0
864;Karl Stollery;COL;D;2;0;0;0;0;0;0;1;0;0;0;0;0
865;Justin Johnson;NYI;R;2;0;0;0;0;0;0;-1;0;0;0;0;0
866;Petter Granberg;TOR;D;1;0;0;0;0;0;0;0;0;0;0;0;0
867;Jamie Devane;TOR;L;2;0;0;0;0;0;0;-1;0;0;0;0;0
868;David Van Der Gulik;COL;L;2;0;0;0;0;0;0;0;0;0;0;0;0
869;Ben Chiarot;WPG;D;1;0;0;0;0;0;0;-3;0;0;0;0;0
870;Nick Drazenovic;PIT;C;1;0;0;0;0;0;0;-1;0;0;0;0;0
871;Cody Kunyk;TBL;R;1;0;0;0;0;0;0;0;0;0;0;0;0
872;Martin St Pierre;MTL;C;1;0;0;0;0;0;0;0;0;0;0;0;0
873;Peter LeBlanc;WSH;C;1;0;0;0;0;0;0;0;0;0;0;0;0
874;Mitch Callahan;DET;R;1;0;0;0;0;0;0;0;0;0;0;0;0
875;Benn Ferriero;VAN;R;2;0;0;0;0;0;0;0;0;0;0;0;0
876;Julian Melchiori;WPG;D;1;0;0;0;0;0;0;-1;0;0;0;0;0
877;Darroll Powe;NYR;C;1;0;0;0;0;0;0;-2;0;0;0;0;0
878;Mark Van Guilder;NSH;C;1;0;0;0;0;0;0;0;0;0;0;0;0
879;Carson McMillan;MIN;R;1;0;0;0;0;0;0;0;0;0;0;0;0
880;Joe Whitney;NJD;R;1;0;0;0;0;0;0;0;0;0;0;0;0
881;Jake Dowell;MIN;C;1;0;0;0;0;0;0;-1;0;0;0;0;0
882;Spencer Abbott;TOR;L;1;0;0;0;0;0;0;-2;0;0;0;0;0
883;Pierre-Luc Letourneau-Leblond;PIT;R;1;0;0;0;0;0;0;0;0;0;0;0;0
884;Greg McKegg;TOR;C;1;0;0;0;0;0;0;0;0;0;0;0;0
885;Cody Bass;CBJ;C;1;0;0;0;0;0;0;0;0;0;0;0;0
886;Joonas Nattinen;MTL;C;1;0;0;0;0;0;0;0;0;0;0;0;0
